INFO  21:29:35,107 | org.apache.james.container.spring.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.JamesServerApplicationContext@402f32ff: startup date [Sat Jul 08 21:29:35 CST 2017]; root of context hierarchy
INFO  21:29:41,800 | org.apache.james.container.spring.JamesServerApplicationContext | Bean 'configurationProvider' of type [class org.apache.james.container.spring.lifecycle.SpringConfigurationProvider] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO  21:29:41,806 | org.apache.james.container.spring.JamesServerApplicationContext | Bean 'logProvider' of type [class org.apache.james.container.spring.lifecycle.SpringLogProvider] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO  21:29:43,513 | james.domainlist | Set autodetect to: false
INFO  21:29:43,514 | james.domainlist | Set autodetectIP to: false
INFO  21:29:43,519 | james.domainlist | Bean  org.apache.james.domainlist.xml.XMLDomainList started.
INFO  21:29:43,531 | james.mailserver | JAMES init...
INFO  21:29:43,569 | james.domainlist | Local host is: 10.108.115.130
INFO  21:29:43,569 | james.mailserver | Private Repository LocalInbox opened
INFO  21:29:43,569 | james.mailserver | VirtualHosting supported: false
INFO  21:29:43,570 | james.mailserver | Defaultdomain: abc.com
INFO  21:29:43,573 | james.mailserver | JAMES ...init end
INFO  21:29:43,601 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesWelcomeMessageHandler
INFO  21:29:43,606 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.SMTPCommandDispatcherLineHandler
INFO  21:29:43,609 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.AuthCmdHandler
INFO  21:29:43,612 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesDataCmdHandler
INFO  21:29:43,615 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.EhloCmdHandler
INFO  21:29:43,617 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.ExpnCmdHandler
INFO  21:29:43,620 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.HeloCmdHandler
INFO  21:29:43,622 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.HelpCmdHandler
INFO  21:29:43,626 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesMailCmdHandler
INFO  21:29:43,628 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.NoopCmdHandler
INFO  21:29:43,631 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.QuitCmdHandler
INFO  21:29:43,635 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesRcptCmdHandler
INFO  21:29:43,637 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.RsetCmdHandler
INFO  21:29:43,639 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.VrfyCmdHandler
INFO  21:29:43,641 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.MailSizeEsmtpExtension
INFO  21:29:43,881 | james.usersrepository | Bean  LocalUsers started.
INFO  21:29:43,883 | james.smtpserver | Added Handler: org.apache.james.smtpserver.UsersRepositoryAuthHook
INFO  21:29:43,886 | james.smtpserver | Added Handler: org.apache.james.smtpserver.AuthRequiredToRelayRcptHook
INFO  21:29:43,889 | james.smtpserver | Added Handler: org.apache.james.smtpserver.SenderAuthIdentifyVerificationRcptHook
INFO  21:29:43,891 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.PostmasterAbuseRcptHook
INFO  21:29:43,894 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.ReceivedDataLineFilter
INFO  21:29:43,900 | james.smtpserver | Added Handler: org.apache.james.smtpserver.DataLineJamesMessageHookHandler
INFO  21:29:43,902 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.StartTlsCmdHandler
INFO  21:29:43,904 | james.smtpserver | Added Handler: org.apache.james.smtpserver.AddDefaultAttributesMessageHook
WARN  21:29:44,200 | org.apache.activemq.store.amq.AMQPersistenceAdapter | The ReferenceStore is not valid - recovering ...
INFO  21:29:44,417 | james.smtpserver | Added Handler: org.apache.james.smtpserver.SendMailHandler
INFO  21:29:44,434 | james.smtpserver | Added Handler: org.apache.james.smtpserver.fastfail.ValidRcptHandler
INFO  21:29:44,439 | james.smtpserver | SMTP Service is running on: 10.108.115.130
INFO  21:29:44,440 | james.smtpserver | SMTP Service handler hello name is: 10.108.115.130
INFO  21:29:44,440 | james.smtpserver | SMTP Service handler connection timeout is: 360
INFO  21:29:44,441 | james.smtpserver | SMTP Service connection backlog is: 200
INFO  21:29:44,442 | james.smtpserver | This SMTP server requires authentication.
INFO  21:29:44,444 | james.smtpserver | Authorized addresses: [127.0.0.0/255.0.0.0]
INFO  21:29:44,445 | james.smtpserver | No maximum message size is enforced for this server.
INFO  21:29:44,446 | james.smtpserver | The idle timeout will be reset every 20480 bytes.
INFO  21:29:44,497 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloWelcomeMessageHandler
INFO  21:29:44,501 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.SMTPCommandDispatcherLineHandler
