INFO  21:29:44,497 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloWelcomeMessageHandler
INFO  21:29:44,501 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.SMTPCommandDispatcherLineHandler
INFO  21:29:44,501 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesDataCmdHandler
INFO  21:29:44,502 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ExpnCmdHandler
INFO  21:29:44,506 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloCmdHandler
INFO  21:29:44,507 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesMailCmdHandler
INFO  21:29:44,507 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.NoopCmdHandler
INFO  21:29:44,508 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.QuitCmdHandler
INFO  21:29:44,509 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesRcptCmdHandler
INFO  21:29:44,510 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.fastfail.ValidRcptHandler
INFO  21:29:44,511 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.RsetCmdHandler
INFO  21:29:44,512 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.VrfyCmdHandler
INFO  21:29:44,512 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.MailSizeEsmtpExtension
INFO  21:29:44,513 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.AuthRequiredToRelayRcptHook
INFO  21:29:44,513 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.PostmasterAbuseRcptHook
INFO  21:29:44,513 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ReceivedDataLineFilter
INFO  21:29:44,539 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.DataLineLMTPMessageHookHandler
INFO  21:29:44,542 | james.lmtpserver | LMTP Service disabled by configuration
INFO  22:15:34,642 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloWelcomeMessageHandler
INFO  22:15:34,643 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.SMTPCommandDispatcherLineHandler
INFO  22:15:34,644 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesDataCmdHandler
INFO  22:15:34,645 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ExpnCmdHandler
INFO  22:15:34,649 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloCmdHandler
INFO  22:15:34,650 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesMailCmdHandler
INFO  22:15:34,651 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.NoopCmdHandler
INFO  22:15:34,652 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.QuitCmdHandler
INFO  22:15:34,653 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesRcptCmdHandler
INFO  22:15:34,654 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.fastfail.ValidRcptHandler
INFO  22:15:34,655 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.RsetCmdHandler
INFO  22:15:34,656 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.VrfyCmdHandler
INFO  22:15:34,656 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.MailSizeEsmtpExtension
INFO  22:15:34,657 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.AuthRequiredToRelayRcptHook
INFO  22:15:34,657 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.PostmasterAbuseRcptHook
INFO  22:15:34,658 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ReceivedDataLineFilter
