INFO  21:29:44,792 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:44,798 | james.mailetcontainer | Mailet PostmasterAlias instantiated.
INFO  21:29:44,807 | james.mailetcontainer | Matcher RelayLimit=30 instantiated.
INFO  21:29:44,811 | james.mailetcontainer | Mailet Null instantiated.
INFO  21:29:44,815 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  21:29:44,820 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  21:29:44,824 | james.mailetcontainer | Matcher InSpammerBlacklist=dnsbl.njabl.org. instantiated.
INFO  21:29:44,825 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  21:29:44,826 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:44,827 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  21:29:44,829 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  21:29:44,833 | james.mailetcontainer | Mailet SetMimeHeader instantiated.
INFO  21:29:44,834 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:44,842 | james.mailetcontainer | Mailet VirtualUserTable instantiated.
INFO  21:29:44,846 | james.mailetcontainer | Matcher RecipientIsLocal instantiated.
INFO  21:29:44,880 | james.mailetcontainer | Mailet LocalDelivery instantiated.
INFO  21:29:44,885 | james.mailetcontainer | Matcher HostIsLocal instantiated.
INFO  21:29:44,885 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  21:29:44,886 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:44,906 | james.mailetcontainer | Mailet RemoteDelivery instantiated.
INFO  21:29:44,914 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:45,015 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  21:29:45,018 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:45,024 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  21:29:45,025 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:45,038 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  21:29:45,039 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:45,051 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  21:29:45,052 | james.mailetcontainer | Matcher All instantiated.
INFO  21:29:45,067 | james.mailetcontainer | Mailet DSNBounce instantiated.
INFO  21:29:45,628 | james.mailetcontainer | JamesSpoolManager init...
INFO  21:29:45,628 | james.mailetcontainer | Spooler Manager uses 20 Thread(s)
INFO  21:29:45,629 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #0
