INFO  21:29:43,601 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesWelcomeMessageHandler
INFO  21:29:43,606 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.SMTPCommandDispatcherLineHandler
INFO  21:29:43,609 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.AuthCmdHandler
INFO  21:29:43,612 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesDataCmdHandler
INFO  21:29:43,615 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.EhloCmdHandler
INFO  21:29:43,617 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.ExpnCmdHandler
INFO  21:29:43,620 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.HeloCmdHandler
INFO  21:29:43,622 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.HelpCmdHandler
INFO  21:29:43,626 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesMailCmdHandler
INFO  21:29:43,628 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.NoopCmdHandler
INFO  21:29:43,631 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.QuitCmdHandler
INFO  21:29:43,635 | james.smtpserver | Added Handler: org.apache.james.smtpserver.JamesRcptCmdHandler
INFO  21:29:43,637 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.RsetCmdHandler
INFO  21:29:43,639 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.VrfyCmdHandler
INFO  21:29:43,641 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.MailSizeEsmtpExtension
INFO  21:29:43,883 | james.smtpserver | Added Handler: org.apache.james.smtpserver.UsersRepositoryAuthHook
INFO  21:29:43,886 | james.smtpserver | Added Handler: org.apache.james.smtpserver.AuthRequiredToRelayRcptHook
INFO  21:29:43,889 | james.smtpserver | Added Handler: org.apache.james.smtpserver.SenderAuthIdentifyVerificationRcptHook
INFO  21:29:43,891 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.PostmasterAbuseRcptHook
INFO  21:29:43,894 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.ReceivedDataLineFilter
INFO  21:29:43,900 | james.smtpserver | Added Handler: org.apache.james.smtpserver.DataLineJamesMessageHookHandler
INFO  21:29:43,902 | james.smtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.StartTlsCmdHandler
INFO  21:29:43,904 | james.smtpserver | Added Handler: org.apache.james.smtpserver.AddDefaultAttributesMessageHook
INFO  21:29:44,417 | james.smtpserver | Added Handler: org.apache.james.smtpserver.SendMailHandler
INFO  21:29:44,434 | james.smtpserver | Added Handler: org.apache.james.smtpserver.fastfail.ValidRcptHandler
INFO  21:29:44,439 | james.smtpserver | SMTP Service is running on: 10.108.115.130
INFO  21:29:44,440 | james.smtpserver | SMTP Service handler hello name is: 10.108.115.130
INFO  21:29:44,440 | james.smtpserver | SMTP Service handler connection timeout is: 360
INFO  21:29:44,441 | james.smtpserver | SMTP Service connection backlog is: 200
INFO  21:29:44,442 | james.smtpserver | This SMTP server requires authentication.
INFO  21:29:44,444 | james.smtpserver | Authorized addresses: [127.0.0.0/255.0.0.0]
INFO  21:29:44,445 | james.smtpserver | No maximum message size is enforced for this server.
